X,Y,Z
511530,5238858,565
511530,5239433.939,361
511530,5240009.878,297
511530,5240585.816,416
511530,5241161.755,210
511530,5241737.694,334
511530,5242313.633,364
511530,5242889.571,307
511530,5243465.51,315
511530,5244041.449,281
511530,5244617.388,222
511530,5245193.327,208
511530,5245769.265,174
511530,5246345.204,202
511530,5246921.143,216
511530,5247497.082,244
511530,5248073.02,233
511530,5248648.959,283
511530,5249224.898,344
511530,5249800.837,474
511530,5250376.776,543
511530,5250952.714,764
511530,5251528.653,893
511530,5252104.592,1007
511530,5252680.531,966
511530,5253256.469,915
511530,5253832.408,907
511530,5254408.347,1044
511530,5254984.286,919
511530,5255560.224,664
511530,5256136.163,619
511530,5256712.102,595
511530,5257288.041,510
511530,5257863.98,505
511530,5258439.918,355
511530,5259015.857,243
511530,5259591.796,172
511530,5260167.735,122
511530,5260743.673,104
511530,5261319.612,60
511530,5261895.551,162
511530,5262471.49,220
511530,5263047.429,250
511530,5263623.367,284
511530,5264199.306,143
511530,5264775.245,3
511530,5265351.184,2
511530,5265927.122,7
511530,5266503.061,60
511530,5267079,78
512138.6327,5238858,542
512138.6327,5239433.939,441
512138.6327,5240009.878,428
512138.6327,5240585.816,484
512138.6327,5241161.755,309
512138.6327,5241737.694,340
512138.6327,5242313.633,381
512138.6327,5242889.571,442
512138.6327,5243465.51,374
512138.6327,5244041.449,358
512138.6327,5244617.388,303
512138.6327,5245193.327,287
512138.6327,5245769.265,206
512138.6327,5246345.204,248
512138.6327,5246921.143,296
512138.6327,5247497.082,270
512138.6327,5248073.02,298
512138.6327,5248648.959,257
512138.6327,5249224.898,354
512138.6327,5249800.837,494
512138.6327,5250376.776,653
512138.6327,5250952.714,979
512138.6327,5251528.653,1074
512138.6327,5252104.592,1216
512138.6327,5252680.531,1147
512138.6327,5253256.469,1065
512138.6327,5253832.408,837
512138.6327,5254408.347,794
512138.6327,5254984.286,736
512138.6327,5255560.224,677
512138.6327,5256136.163,648
512138.6327,5256712.102,678
512138.6327,5257288.041,645
512138.6327,5257863.98,416
512138.6327,5258439.918,309
512138.6327,5259015.857,231
512138.6327,5259591.796,242
512138.6327,5260167.735,198
512138.6327,5260743.673,145
512138.6327,5261319.612,92
512138.6327,5261895.551,169
512138.6327,5262471.49,239
512138.6327,5263047.429,269
512138.6327,5263623.367,393
512138.6327,5264199.306,329
512138.6327,5264775.245,79
512138.6327,5265351.184,73
512138.6327,5265927.122,7
512138.6327,5266503.061,0
512138.6327,5267079,52
512747.2653,5238858,386
512747.2653,5239433.939,404
512747.2653,5240009.878,438
512747.2653,5240585.816,490
512747.2653,5241161.755,360
512747.2653,5241737.694,359
512747.2653,5242313.633,390
512747.2653,5242889.571,423
512747.2653,5243465.51,545
512747.2653,5244041.449,534
512747.2653,5244617.388,447
512747.2653,5245193.327,337
512747.2653,5245769.265,297
512747.2653,5246345.204,305
512747.2653,5246921.143,392
512747.2653,5247497.082,392
512747.2653,5248073.02,437
512747.2653,5248648.959,437
512747.2653,5249224.898,336
512747.2653,5249800.837,347
512747.2653,5250376.776,580
512747.2653,5250952.714,791
512747.2653,5251528.653,948
512747.2653,5252104.592,1091
512747.2653,5252680.531,1086
512747.2653,5253256.469,989
512747.2653,5253832.408,897
512747.2653,5254408.347,603
512747.2653,5254984.286,663
512747.2653,5255560.224,636
512747.2653,5256136.163,673
512747.2653,5256712.102,633
512747.2653,5257288.041,590
512747.2653,5257863.98,450
512747.2653,5258439.918,418
512747.2653,5259015.857,370
512747.2653,5259591.796,320
512747.2653,5260167.735,204
512747.2653,5260743.673,102
512747.2653,5261319.612,116
512747.2653,5261895.551,211
512747.2653,5262471.49,249
512747.2653,5263047.429,341
512747.2653,5263623.367,479
512747.2653,5264199.306,328
512747.2653,5264775.245,290
512747.2653,5265351.184,251
512747.2653,5265927.122,78
512747.2653,5266503.061,4
512747.2653,5267079,16
513355.898,5238858,398
513355.898,5239433.939,386
513355.898,5240009.878,358
513355.898,5240585.816,393
513355.898,5241161.755,386
513355.898,5241737.694,369
513355.898,5242313.633,329
513355.898,5242889.571,364
513355.898,5243465.51,367
513355.898,5244041.449,451
513355.898,5244617.388,573
513355.898,5245193.327,498
513355.898,5245769.265,565
513355.898,5246345.204,500
513355.898,5246921.143,588
513355.898,5247497.082,651
513355.898,5248073.02,743
513355.898,5248648.959,690
513355.898,5249224.898,433
513355.898,5249800.837,544
513355.898,5250376.776,456
513355.898,5250952.714,529
513355.898,5251528.653,744
513355.898,5252104.592,1010
513355.898,5252680.531,863
513355.898,5253256.469,738
513355.898,5253832.408,719
513355.898,5254408.347,643
513355.898,5254984.286,545
513355.898,5255560.224,574
513355.898,5256136.163,545
513355.898,5256712.102,507
513355.898,5257288.041,493
513355.898,5257863.98,503
513355.898,5258439.918,545
513355.898,5259015.857,520
513355.898,5259591.796,343
513355.898,5260167.735,204
513355.898,5260743.673,103
513355.898,5261319.612,193
513355.898,5261895.551,192
513355.898,5262471.49,270
513355.898,5263047.429,417
513355.898,5263623.367,535
513355.898,5264199.306,570
513355.898,5264775.245,342
513355.898,5265351.184,219
513355.898,5265927.122,47
513355.898,5266503.061,10
513355.898,5267079,0
513964.5306,5238858,287
513964.5306,5239433.939,309
513964.5306,5240009.878,366
513964.5306,5240585.816,392
513964.5306,5241161.755,383
513964.5306,5241737.694,230
513964.5306,5242313.633,350
513964.5306,5242889.571,430
513964.5306,5243465.51,464
513964.5306,5244041.449,530
513964.5306,5244617.388,641
513964.5306,5245193.327,663
513964.5306,5245769.265,578
513964.5306,5246345.204,608
513964.5306,5246921.143,691
513964.5306,5247497.082,885
513964.5306,5248073.02,980
513964.5306,5248648.959,712
513964.5306,5249224.898,589
513964.5306,5249800.837,667
513964.5306,5250376.776,712
513964.5306,5250952.714,580
513964.5306,5251528.653,893
513964.5306,5252104.592,1081
513964.5306,5252680.531,913
513964.5306,5253256.469,756
513964.5306,5253832.408,607
513964.5306,5254408.347,560
513964.5306,5254984.286,443
513964.5306,5255560.224,428
513964.5306,5256136.163,491
513964.5306,5256712.102,491
513964.5306,5257288.041,441
513964.5306,5257863.98,359
513964.5306,5258439.918,530
513964.5306,5259015.857,439
513964.5306,5259591.796,230
513964.5306,5260167.735,132
513964.5306,5260743.673,215
513964.5306,5261319.612,264
513964.5306,5261895.551,367
513964.5306,5262471.49,276
513964.5306,5263047.429,300
513964.5306,5263623.367,598
513964.5306,5264199.306,475
513964.5306,5264775.245,357
513964.5306,5265351.184,157
513964.5306,5265927.122,249
513964.5306,5266503.061,59
513964.5306,5267079,0
514573.1633,5238858,304
514573.1633,5239433.939,236
514573.1633,5240009.878,238
514573.1633,5240585.816,342
514573.1633,5241161.755,260
514573.1633,5241737.694,255
514573.1633,5242313.633,414
514573.1633,5242889.571,394
514573.1633,5243465.51,294
514573.1633,5244041.449,449
514573.1633,5244617.388,595
514573.1633,5245193.327,658
514573.1633,5245769.265,600
514573.1633,5246345.204,737
514573.1633,5246921.143,903
514573.1633,5247497.082,893
514573.1633,5248073.02,864
514573.1633,5248648.959,838
514573.1633,5249224.898,842
514573.1633,5249800.837,961
514573.1633,5250376.776,967
514573.1633,5250952.714,860
514573.1633,5251528.653,863
514573.1633,5252104.592,1086
514573.1633,5252680.531,1025
514573.1633,5253256.469,800
514573.1633,5253832.408,668
514573.1633,5254408.347,547
514573.1633,5254984.286,414
514573.1633,5255560.224,405
514573.1633,5256136.163,459
514573.1633,5256712.102,413
514573.1633,5257288.041,343
514573.1633,5257863.98,350
514573.1633,5258439.918,309
514573.1633,5259015.857,187
514573.1633,5259591.796,226
514573.1633,5260167.735,222
514573.1633,5260743.673,289
514573.1633,5261319.612,368
514573.1633,5261895.551,453
514573.1633,5262471.49,451
514573.1633,5263047.429,445
514573.1633,5263623.367,607
514573.1633,5264199.306,608
514573.1633,5264775.245,406
514573.1633,5265351.184,381
514573.1633,5265927.122,316
514573.1633,5266503.061,170
514573.1633,5267079,51
515181.7959,5238858,369
515181.7959,5239433.939,329
515181.7959,5240009.878,205
515181.7959,5240585.816,206
515181.7959,5241161.755,197
515181.7959,5241737.694,189
515181.7959,5242313.633,214
515181.7959,5242889.571,245
515181.7959,5243465.51,295
515181.7959,5244041.449,464
515181.7959,5244617.388,635
515181.7959,5245193.327,671
515181.7959,5245769.265,653
515181.7959,5246345.204,827
515181.7959,5246921.143,701
515181.7959,5247497.082,713
515181.7959,5248073.02,843
515181.7959,5248648.959,925
515181.7959,5249224.898,1039
515181.7959,5249800.837,1063
515181.7959,5250376.776,1102
515181.7959,5250952.714,1021
515181.7959,5251528.653,906
515181.7959,5252104.592,1013
515181.7959,5252680.531,1040
515181.7959,5253256.469,831
515181.7959,5253832.408,689
515181.7959,5254408.347,562
515181.7959,5254984.286,431
515181.7959,5255560.224,388
515181.7959,5256136.163,389
515181.7959,5256712.102,328
515181.7959,5257288.041,321
515181.7959,5257863.98,277
515181.7959,5258439.918,256
515181.7959,5259015.857,251
